CustID,Txns,Stores,AvgTxnValue,AvgTxnSize,AvgItems,MoB,PchActiveMths,PromoSales,Gender,HHOwn,HHType,HHSize,Age,Distance,Sales
CUST10055,12,3,144.95,2.04,1.59,15,7,6,F,Owned,Flat,5,34,8.0004,842.37
CUST10056,5,1,233.00,7.70,6.07,14,3,4,M,Owned,Apartment,3,29,10.9028,763.61
CUST10057,12,12,116.45,4.56,3.29,22,9,4,M,Rented,Apartment,2,45,2.7131,1547.61
CUST10058,9,1,194.65,4.63,0.25,20,7,3,M,Rented,Apartment,3,35,5.7957,1326.39
CUST10059,10,3,143.75,11.35,9.50,21,2,7,F,Owned,Flat,4,28,0.4256,1455.07
CUST1006,13,1,83.35,4.31,2.15,17,10,1,F,Rented,Apartment,3,22,6.6862,1055.98
CUST10060,9,6,148.90,9.91,7.14,22,2,2,F,Rented,Apartment,2,25,0.8623,1526.40
CUST10061,7,4,128.70,9.75,4.99,15,7,5,F,Rented,Apartment,3,25,10.0740,826.77
CUST10062,9,2,293.30,7.39,0.61,17,3,2,F,Rented,Apartment,2,31,12.2689,1054.04
CUST10063,6,6,181.90,10.78,0.73,20,1,1,M,Rented,Apartment,4,34,3.1996,1339.74
CUST10064,12,6,91.05,6.27,3.61,21,3,1,M,Rented,Apartment,1,30,8.0243,1410.96
CUST10065,8,3,223.55,5.57,2.48,22,8,1,M,Rented,Apartment,5,29,2.7501,1569.58
CUST10066,6,3,276.40,10.51,4.04,18,1,6,M,Owned,Apartment,1,28,4.3879,1142.23
CUST10067,11,8,123.25,6.55,0.48,22,9,5,M,Rented,Flat,4,34,1.5002,1603.51
CUST10068,4,4,162.05,11.04,3.74,13,1,3,F,Owned,Apartment,2,35,2.8323,678.32
CUST10069,11,9,108.50,8.83,4.71,15,5,10,F,Owned,Apartment,3,26,4.2949,866.81
CUST1007,6,2,88.10,7.63,5.81,19,4,6,F,Rented,Flat,2,41,8.5818,1148.46
CUST10070,4,3,180.90,10.42,1.92,25,4,1,F,Rented,Apartment,2,39,2.1418,1947.02
CUST10071,5,3,159.95,3.44,0.43,14,3,1,M,Rented,Apartment,1,31,6.9246,723.33
CUST10072,8,3,140.95,6.58,3.79,15,2,5,F,Owned,Apartment,3,37,7.5921,845.64
CUST10073,7,7,117.30,6.18,3.13,13,5,7,F,Rented,Apartment,4,36,3.7759,675.75
CUST10074,12,5,152.35,4.02,1.57,15,11,3,F,Rented,Apartment,4,39,4.5004,805.00
CUST10075,10,4,120.25,5.14,3.68,17,8,8,F,Owned,Apartment,2,47,4.1191,1064.26
CUST10076,9,6,226.40,5.37,4.56,15,1,3,M,Rented,Apartment,4,27,25.2382,837.34
CUST10077,12,10,146.45,1.49,0.01,23,1,5,M,Rented,Flat,2,29,0.6595,1681.40
CUST10078,14,12,20.70,4.95,3.54,18,2,13,M,Owned,Apartment,4,31,3.0807,1070.16
CUST10079,10,5,97.10,3.39,1.71,19,1,5,F,Owned,Apartment,4,23,2.9000,1212.78
CUST1008,11,5,57.25,4.99,2.69,15,6,2,F,Owned,Apartment,3,37,3.9029,822.11
CUST10080,15,15,84.85,1.73,0.48,22,12,2,F,Owned,Apartment,4,29,4.1502,1552.52
CUST10081,9,1,94.35,6.99,3.97,31,4,8,F,Rented,Apartment,4,25,3.4681,2828.50
CUST10082,9,9,171.80,3.93,1.59,16,4,9,F,Rented,Flat,3,26,4.7662,930.68
CUST10083,5,4,200.30,3.76,1.42,26,1,2,M,Rented,Apartment,2,30,11.7359,2053.18
CUST10084,9,7,161.40,5.46,0.28,18,6,1,F,Rented,Apartment,2,36,4.0890,1138.10
CUST10085,13,8,156.45,2.27,0.71,13,6,6,M,Rented,Apartment,2,27,7.6417,678.04
CUST10086,10,9,102.80,3.02,1.93,13,8,3,M,Rented,Apartment,5,23,8.7587,741.77
CUST10087,10,7,170.95,1.71,0.59,15,1,8,M,Rented,Apartment,3,46,4.1714,842.90
CUST10088,8,3,169.05,7.82,4.85,16,5,2,F,Rented,Apartment,5,38,6.4957,939.34
CUST10089,9,9,171.65,8.87,2.31,13,6,6,M,Rented,Apartment,2,31,4.6448,686.39
CUST1009,7,7,131.50,11.04,8.36,17,5,5,F,Owned,Flat,2,34,15.1316,987.80
CUST10090,7,4,165.10,5.86,1.37,15,2,4,F,Owned,Apartment,4,31,4.5129,836.33
CUST10091,8,6,124.70,10.68,7.99,14,6,1,F,Rented,Apartment,3,37,6.8154,785.88
CUST10092,14,7,116.75,3.42,0.94,16,12,2,F,Owned,Apartment,4,31,1.4498,897.59
CUST10093,11,6,94.90,3.97,1.95,19,2,10,F,Rented,Apartment,3,32,3.4318,1170.43
CUST10094,11,9,109.90,4.40,0.82,26,6,3,F,Owned,Flat,5,34,5.3169,2079.75
CUST10095,12,9,160.55,4.71,1.94,22,2,6,F,Rented,Apartment,4,27,1.9825,1543.09
CUST10096,9,2,282.30,7.01,6.27,19,8,7,F,Owned,Apartment,1,27,1.2159,1242.40
CUST10097,8,7,161.10,5.00,2.56,15,1,3,F,Rented,Apartment,2,28,0.1813,873.89
CUST10098,13,9,77.15,4.32,3.08,13,10,3,F,Owned,Apartment,2,30,4.4026,721.01
CUST10099,10,2,87.55,5.23,1.60,23,7,8,F,Owned,Apartment,2,35,6.0519,1671.69
CUST101,6,5,141.75,9.40,8.84,21,6,5,F,Owned,Apartment,2,27,2.4469,1385.23
CUST1010,4,3,198.65,5.54,1.65,20,4,2,F,Owned,Apartment,3,26,11.0320,1317.53
CUST10100,10,3,121.35,2.32,1.23,19,2,10,F,Rented,Flat,3,29,7.9162,1194.87
CUST10101,12,12,75.90,3.71,1.48,16,12,2,F,Rented,Flat,4,28,1.7883,939.44
CUST10102,6,3,150.60,3.42,1.20,16,1,3,M,Rented,Flat,3,29,2.0623,906.35
CUST10103,11,6,128.60,3.83,1.57,20,6,7,F,Rented,Apartment,3,30,0.8677,1344.38
CUST10104,11,1,79.05,6.44,4.37,20,2,11,M,Rented,Apartment,2,39,10.3422,1306.30
CUST10105,12,9,154.15,1.20,0.00,22,10,11,F,Owned,Apartment,2,29,2.7280,1593.73
CUST10106,8,6,167.80,9.95,1.79,17,2,2,M,Rented,Apartment,1,42,4.5846,1010.93
CUST10107,8,5,117.10,3.33,1.75,13,6,1,M,Rented,Flat,3,39,2.0579,659.04
CUST10108,11,11,131.10,5.39,3.30,23,1,3,M,Rented,Apartment,2,33,1.4060,1641.70
CUST10109,6,4,138.25,5.77,0.97,14,4,6,F,Rented,Apartment,4,26,4.4515,765.18
CUST1011,5,1,191.25,7.53,6.38,18,4,2,M,Rented,Apartment,2,33,1.8158,1050.75
CUST10110,8,1,197.80,7.83,4.16,16,4,3,M,Owned,Flat,5,35,6.5242,905.34
CUST10111,9,9,158.15,2.51,0.69,15,1,4,F,Owned,Apartment,2,47,6.8064,850.38
CUST10112,8,7,186.35,12.31,0.98,20,7,7,F,Rented,Apartment,6,34,1.4004,1323.66
CUST10113,8,6,151.55,3.26,0.10,17,6,7,M,Rented,Apartment,2,34,1.9909,1038.27
CUST10114,5,1,191.70,2.89,0.95,19,1,5,F,Rented,Apartment,1,22,3.0618,1226.20
CUST10115,10,2,52.50,4.77,1.12,22,6,10,F,Owned,Apartment,2,32,11.7581,1524.98
CUST10116,11,4,36.25,7.03,0.30,24,8,8,F,Rented,Apartment,3,25,5.6923,1753.36
CUST10117,4,2,253.60,7.04,1.33,18,3,1,F,Rented,Apartment,4,51,2.9981,1126.63
CUST10118,12,2,94.90,4.50,0.21,17,4,9,F,Owned,Apartment,2,24,3.3466,981.46
CUST10119,8,8,154.40,8.13,7.66,17,8,8,M,Rented,Flat,4,31,2.1471,1073.07
CUST1012,7,4,133.20,6.27,5.08,21,5,7,M,Rented,Apartment,5,22,1.1427,1403.64
CUST10120,10,7,63.05,4.54,1.76,16,7,5,F,Owned,Apartment,2,41,0.9138,900.18
CUST10121,7,3,197.80,5.84,0.24,18,5,1,M,Owned,Apartment,2,34,4.9983,1125.99
CUST10122,9,1,227.90,6.07,0.55,16,4,5,M,Rented,Flat,2,39,4.9872,936.87
CUST10123,9,1,179.30,7.76,1.72,19,2,7,F,Owned,Flat,1,32,4.4022,1167.56
CUST10124,7,7,108.55,11.78,8.74,13,6,4,M,Rented,Apartment,3,42,3.0321,678.95
CUST10125,10,4,117.15,9.47,8.42,17,2,5,F,Rented,Apartment,3,28,5.4526,1031.26
CUST10126,12,3,103.70,1.64,0.55,14,9,7,F,Owned,Apartment,2,28,0.7052,779.22
CUST10127,5,2,227.90,8.82,4.71,13,3,1,F,Rented,Apartment,4,27,4.9389,707.36
CUST10128,10,4,96.80,2.86,1.44,21,8,3,M,Rented,Apartment,1,27,12.0220,1444.87
CUST10129,9,8,135.90,9.56,4.19,21,6,7,F,Rented,Apartment,2,28,8.3765,1438.68
CUST1013,8,7,235.85,9.05,0.53,20,7,7,F,Rented,Apartment,2,34,7.0672,1344.87
CUST10130,7,4,172.40,7.00,6.33,14,4,1,M,Owned,Apartment,2,38,17.2944,767.35
CUST10131,8,6,68.20,8.24,1.15,18,6,1,M,Rented,Apartment,3,32,3.4405,1054.35
CUST10132,5,5,119.15,7.19,6.39,16,3,3,F,Rented,Apartment,3,26,7.7534,920.02
CUST10133,10,5,92.55,1.69,0.06,17,8,9,M,Rented,Flat,3,36,3.6028,1018.93
CUST10134,10,10,104.65,5.60,1.41,13,5,2,F,Owned,Apartment,1,23,0.9408,658.14
CUST10135,10,7,89.70,3.54,1.41,18,4,2,M,Owned,Apartment,2,46,9.6530,1092.38
CUST10136,13,8,88.05,3.68,2.82,17,1,8,M,Rented,Apartment,1,34,6.3578,934.36
CUST10137,7,7,178.40,10.59,5.07,15,2,3,M,Rented,Apartment,2,47,3.5888,846.43
CUST10138,6,2,161.55,7.27,1.11,14,6,2,M,Rented,Apartment,4,30,12.6487,775.72
CUST10139,13,2,186.45,1.60,0.59,14,5,12,M,Rented,Apartment,3,23,1.9126,792.79
CUST1014,6,2,189.85,15.01,10.81,26,1,2,F,Owned,Apartment,3,46,1.9928,2087.15
CUST10140,10,3,141.90,4.95,2.96,20,8,9,M,Owned,Apartment,5,32,7.5440,1318.67
CUST10141,11,3,105.80,6.61,0.63,17,9,6,M,Rented,Apartment,3,34,0.8920,1066.50
CUST10142,8,6,223.85,7.68,6.16,16,1,2,F,Rented,Apartment,3,34,0.8942,980.65
CUST10143,7,7,126.05,8.39,0.44,13,7,7,M,Rented,Apartment,2,32,3.8901,678.48
CUST10144,6,3,192.55,8.72,6.97,20,5,4,F,Rented,Apartment,3,33,0.7470,1318.17
CUST10145,9,1,210.75,11.09,1.12,20,1,7,F,Rented,Flat,5,29,5.8878,1290.02
CUST10146,13,3,91.10,4.63,2.15,16,11,9,F,Owned,Flat,1,31,5.6387,917.31
CUST10147,8,5,172.55,9.32,3.65,19,4,7,M,Owned,Flat,4,26,0.8771,1223.58
CUST10148,9,6,158.80,4.70,3.36,24,3,7,F,Owned,Flat,2,35,5.1295,1822.34
CUST10149,9,2,207.00,5.45,1.76,15,7,6,F,Rented,Apartment,6,29,7.7827,853.47
CUST1015,12,3,98.70,8.61,5.05,20,3,2,M,Rented,Apartment,4,36,14.2496,1274.17
CUST10150,5,3,194.70,13.41,7.59,24,3,1,M,Rented,Apartment,3,38,8.4955,1800.90
CUST10151,8,1,178.80,6.24,3.59,16,2,7,F,Rented,Apartment,3,27,1.6222,980.93
CUST10152,9,9,186.10,9.65,6.73,14,4,7,M,Rented,Flat,4,28,8.1455,776.06
CUST10153,3,1,163.20,6.12,1.29,18,3,2,F,Rented,Flat,5,31,6.1818,1126.99
CUST10154,10,5,110.65,6.31,2.75,17,6,9,F,Rented,Apartment,3,28,1.5134,1019.11
CUST10155,10,1,147.40,5.02,0.39,15,8,5,M,Owned,Flat,3,36,5.3170,854.57
CUST10156,11,9,127.75,2.01,1.46,16,2,11,F,Rented,Flat,4,35,0.4868,928.37
CUST10157,12,3,81.10,6.34,5.07,15,8,10,F,Owned,Apartment,3,37,4.5612,858.42
CUST10158,9,5,131.40,10.74,4.20,17,1,8,M,Owned,Apartment,4,42,2.5912,978.75
CUST10159,7,5,166.65,8.01,5.07,13,4,1,M,Rented,Apartment,2,29,3.6682,653.92
CUST1016,13,3,77.05,2.58,1.55,16,6,13,F,Rented,Apartment,1,29,7.5905,922.88
CUST10160,12,5,144.95,5.10,1.82,17,12,10,F,Rented,Apartment,1,34,1.0501,1034.36
CUST10161,10,7,87.00,5.05,2.08,23,8,2,M,Owned,Apartment,1,33,14.1367,1683.89
CUST10162,10,4,157.10,8.45,7.65,17,1,2,F,Rented,Apartment,3,36,2.0911,1066.32
CUST10163,10,1,112.40,2.43,1.76,21,10,4,F,Owned,Apartment,2,36,3.3697,1450.79
CUST10164,10,1,126.40,3.85,1.49,20,5,8,F,Rented,Flat,3,44,6.1173,1305.99
CUST10165,11,6,79.75,8.13,2.32,23,10,11,M,Rented,Apartment,2,22,1.3370,1673.96
CUST10166,10,7,62.95,2.89,1.02,15,5,6,F,Rented,Apartment,2,30,0.2009,828.23
CUST10167,9,7,237.90,5.68,4.39,15,4,2,F,Rented,Apartment,4,31,2.0362,868.25
CUST10168,7,7,171.50,5.65,3.53,13,7,4,F,Owned,Flat,1,27,5.1291,677.87
CUST10169,13,1,129.10,3.23,0.29,19,8,3,F,Owned,Flat,3,45,3.6794,1220.07
CUST1017,13,13,82.35,5.84,0.44,23,5,13,F,Owned,Apartment,1,44,5.6438,1661.25
CUST10170,6,1,127.95,3.92,0.03,15,4,3,M,Rented,Apartment,4,32,5.8391,871.07
CUST10171,11,11,79.15,7.22,4.12,18,2,8,M,Rented,Apartment,3,30,7.5217,1100.60
CUST10172,8,4,105.45,5.49,2.08,18,7,1,F,Rented,Apartment,2,33,0.6830,1127.67
CUST10173,13,13,116.00,3.46,2.84,20,5,13,M,Rented,Apartment,2,28,8.0519,1364.06
CUST10174,13,9,124.70,6.25,5.32,15,8,11,M,Owned,Apartment,3,24,1.3903,816.72
CUST10175,11,8,139.05,1.81,0.89,14,1,2,M,Rented,Apartment,1,28,1.0196,812.20
CUST10176,10,1,90.70,6.61,1.90,14,1,4,M,Owned,Flat,2,25,4.6945,742.40
CUST10177,8,2,124.95,6.10,4.93,17,1,4,F,Rented,Flat,4,32,13.6898,993.75
CUST10178,12,10,140.40,4.73,0.66,17,11,12,M,Rented,Apartment,5,32,4.7049,1005.08
CUST10179,8,4,123.05,6.07,0.44,16,8,1,M,Owned,Apartment,4,31,8.2162,934.21
CUST1018,6,5,233.90,13.14,3.72,16,6,5,M,Owned,Flat,3,36,5.5176,920.98
CUST10180,8,4,208.30,3.06,2.68,25,4,1,F,Rented,Apartment,2,34,3.7822,1957.14
CUST10181,7,7,210.65,2.59,0.21,19,2,2,F,Owned,Apartment,2,31,2.8518,1249.80
CUST10182,10,4,159.50,5.28,0.42,13,6,5,F,Owned,Apartment,2,34,7.1649,695.57
CUST10183,10,9,113.05,3.20,0.77,16,10,7,M,Owned,Flat,2,43,1.1253,919.38
CUST10184,11,8,128.60,3.18,0.81,18,2,1,M,Rented,Apartment,5,27,5.7832,1159.68
CUST10185,12,4,116.35,4.62,1.52,20,1,10,F,Owned,Apartment,4,35,1.2065,1332.40
CUST10186,5,2,151.00,5.61,1.17,18,3,1,M,Owned,Apartment,1,31,5.4043,1123.32
CUST10187,11,11,96.55,3.97,2.47,17,7,2,F,Owned,Flat,3,41,2.6214,991.54
CUST10188,9,2,230.35,8.15,3.18,16,9,4,F,Owned,Apartment,1,36,0.8480,961.65
CUST10189,6,3,141.30,10.40,3.30,14,3,4,F,Rented,Apartment,5,36,1.3246,799.16
CUST1019,2,1,381.85,16.77,3.80,19,2,1,F,Rented,Apartment,3,29,12.4017,1232.21
CUST10190,15,12,85.10,2.89,1.33,17,6,3,M,Owned,Flat,3,33,11.9388,1007.44
CUST10191,7,4,155.20,3.26,0.80,18,3,2,F,Rented,Apartment,6,30,5.2692,1094.42
CUST10192,6,5,204.45,8.45,7.12,17,4,2,F,Owned,Apartment,1,37,3.2319,996.72
CUST10193,10,10,141.75,2.75,0.70,14,8,8,F,Rented,Apartment,3,39,6.3908,771.65
CUST10194,12,5,143.15,2.88,1.86,14,1,11,M,Rented,Apartment,1,40,9.3777,761.65
CUST10195,11,5,161.75,6.93,5.63,19,7,9,F,Rented,Flat,3,33,9.2201,1211.63
CUST10196,7,6,112.25,6.72,0.56,23,7,2,M,Owned,Apartment,2,32,6.4337,1681.13
CUST10197,8,8,149.00,9.47,2.46,15,5,8,F,Rented,Flat,1,40,4.1108,807.71
CUST10198,13,3,96.00,5.55,2.18,17,9,11,F,Rented,Apartment,1,28,1.9027,1024.33
CUST10199,8,1,184.40,12.25,3.59,17,5,6,F,Rented,Apartment,2,33,5.3749,1055.02
CUST102,12,2,116.65,4.35,0.01,15,11,12,F,Rented,Flat,3,28,7.1679,857.34
CUST1020,12,3,181.85,2.91,1.31,17,11,12,M,Rented,Apartment,3,32,4.5634,1004.50
CUST10200,10,8,128.40,7.96,3.73,18,8,7,M,Owned,Apartment,4,38,7.9116,1126.90
CUST10201,7,1,195.65,10.88,6.94,19,3,6,M,Owned,Apartment,3,31,2.2240,1204.81
CUST10202,10,2,86.85,5.83,1.33,15,3,3,M,Owned,Apartment,1,34,2.8588,784.56
CUST10203,8,1,251.90,8.09,2.60,18,3,7,F,Rented,Apartment,3,38,0.9512,1142.00
CUST10204,9,7,195.85,4.71,0.09,19,9,9,M,Rented,Apartment,1,25,3.1283,1267.00
CUST10205,7,1,121.45,7.79,2.02,17,3,6,M,Owned,Apartment,4,43,4.4515,1048.04
CUST10206,9,4,131.40,6.32,2.75,14,9,7,F,Rented,Apartment,1,47,3.5026,793.85
CUST10207,9,5,156.50,7.91,6.21,17,6,7,M,Rented,Apartment,1,49,16.2675,1040.85
CUST10208,12,1,67.25,2.36,1.82,17,8,10,M,Owned,Apartment,3,37,3.9921,967.76
CUST10209,12,8,113.65,4.94,1.35,14,10,7,M,Rented,Apartment,5,35,4.5343,761.45
CUST1021,6,6,210.25,4.50,0.56,13,1,1,F,Rented,Apartment,1,35,3.7774,688.47
CUST10210,10,7,145.00,3.26,1.88,14,4,8,M,Rented,Flat,2,31,4.1638,762.74
CUST10211,6,4,278.00,3.27,2.59,14,1,4,F,Owned,Flat,2,30,1.9160,768.79
CUST10212,11,5,86.25,2.67,0.88,13,11,1,F,Owned,Apartment,4,47,0.8092,692.97
CUST10213,10,2,140.55,2.84,1.93,21,8,6,F,Rented,Apartment,,41,2.2648,1401.57
CUST10214,4,4,183.30,12.56,11.19,16,3,1,F,Owned,Flat,2,43,1.9458,919.40
CUST10215,12,8,93.10,2.83,0.36,14,9,9,F,Rented,Apartment,2,33,9.0215,750.49
CUST10216,11,3,124.50,7.93,5.59,13,8,2,M,Rented,Apartment,3,38,3.0947,659.19
CUST10217,7,4,266.10,9.06,3.51,16,4,1,M,Owned,Flat,3,31,4.9827,940.00
CUST10218,11,8,106.70,3.35,2.44,13,6,6,F,Rented,Apartment,1,38,8.5983,686.60
CUST10219,12,1,95.15,4.59,2.13,21,6,8,M,Owned,Flat,5,30,7.9180,1424.03
CUST1022,9,5,208.20,6.20,2.20,22,8,2,F,Owned,Apartment,4,40,3.7291,1605.54
CUST10220,6,4,183.50,3.16,2.72,23,4,5,F,Rented,Apartment,3,35,3.2397,1678.46
CUST10221,10,5,118.45,7.26,6.65,18,7,2,F,Rented,Apartment,4,48,11.7804,1086.67
CUST10222,5,2,175.30,4.08,0.86,19,3,1,F,Owned,Apartment,2,36,6.6797,1217.36
CUST10223,7,4,227.15,7.65,5.50,16,5,2,M,Rented,Apartment,6,34,4.5775,924.09
CUST10224,12,7,169.25,3.72,1.39,17,2,7,F,Owned,Apartment,2,31,9.3261,1023.79
CUST10225,8,1,226.50,9.33,3.71,15,5,3,M,Owned,Apartment,4,32,2.2569,891.86
CUST10226,8,3,205.70,5.78,1.73,15,8,6,F,Owned,Apartment,4,32,7.2205,840.81
CUST10227,5,1,188.35,7.13,6.75,16,3,1,F,Rented,Apartment,1,34,8.8380,927.04
CUST10228,7,5,186.75,7.78,6.10,16,4,1,F,Rented,Apartment,2,30,5.8220,903.67
CUST10229,7,2,233.60,7.89,0.04,17,3,4,M,Rented,Flat,2,32,6.2546,1037.95
CUST1023,10,1,89.90,7.33,0.52,21,7,3,F,Owned,Apartment,2,38,2.9837,1411.54
CUST10230,8,5,199.95,6.41,4.60,18,7,6,F,Rented,Apartment,3,29,6.7014,1128.83
CUST10231,8,7,199.05,7.36,1.23,18,6,5,M,Rented,Apartment,4,28,5.7139,1096.41
CUST10232,3,2,275.30,8.07,2.63,13,3,2,M,Owned,Apartment,3,34,4.5078,671.67
CUST10233,5,3,204.15,8.43,6.23,20,5,5,F,Rented,Flat,5,27,11.7135,1320.53
CUST10234,9,2,128.60,7.32,3.78,14,1,6,F,Rented,Apartment,2,32,1.6779,778.14
